reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
no link of any kind recorded,meylan2022_unknown,Clear cell renal cell carcinoma (ccRCC) dataset,,human,clear cell renal cell carcinoma,,"Meylan et al., Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer, Immunity (2022)",https://doi.org/10.1016/j.immuni.2022.02.001
no link of any kind recorded,collapsing_glome2024_geomx,Collapsing glomerulopathy spatial transcriptomics dataset,GeoMx DSP,human,kidney biopsy,,Challenges and Opportunities for the Clinical Translation of Spatial Transcriptomics Technologies,https://doi.org/10.1159/000538344
no link of any kind recorded,hartmann2021_mibi,Colon Cancer CyTOF and MIBI-TOF Dataset,MIBI-TOF,human,colon carcinoma and peripheral blood,,"Hartmann et al., Single-cell metabolic profiling of human cytotoxic T cells, Nat. Biotechnol. (2021)",
no link of any kind recorded,zhao2022_slideseq,Colon cancer Slide-seq / Slide-RNA-seq dataset,Slide-seq,Human,Colon cancer,,"Zhao et al., Spatial genomics enables multi-modal study of clonal heterogeneity in tissues, Nature (2022)",https://doi.org/10.3410/f.741322092.793591057
no link of any kind recorded,wang2023_unknown,Colorectal cancer (CRC) primary and liver metastatic tumors dataset,,human,colorectal cancer and liver metastatic tumors,,"Wang et al., Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer, Sci. Adv. (2023)",https://doi.org/10.1126/sciadv.adf5464
no link of any kind recorded,wu2022_spatial_tran,Colorectal cancer liver metastasis ST data,Spatial Transcriptomics,Human,intestine,,"Wu et al., Spatiotemporal Immune Landscape of Colorectal Cancer Liver Metastasis at Single-Cell Level, Cancer Discov. (2022)",https://doi.org/10.1158/2159-8290.22540411.v1
no link of any kind recorded,comparative_spat2024_visium,Comparative spatial transcriptomics of the injured spinal cord (generated in this paper),10x Visium,mice,lumbar spinal cord,,Identification of perturbation-responsive regions and genes in comparative spatial transcriptomics atlases,https://doi.org/10.1101/2024.06.13.598641
no link of any kind recorded,control_tonsil_t_imc,Control Tonsil Tissue,IMC,human,tonsil,,,
no link of any kind recorded,akeret2022_unknown,Coronal Mouse Brain Dataset,,mouse,coronal mouse brain,,"Akeret et al., Spatial transcriptome data from coronal mouse brain sections after striatal injection of heme and heme-hemopexin, Data Brief (2022)",https://doi.org/10.1016/j.dib.2022.107866
no link of any kind recorded,zeng2012_unknown,Cortex Study,,,human neocortex,,"Zeng et al., Large-scale cellular-resolution gene profiling in human neocortex reveals species-specific molecular signatures, Cell (2012)",https://doi.org/10.1016/j.cell.2012.02.052
no link of any kind recorded,cosmx_dataset2023_cosmx,CosMX dataset,CosMX (protein-based),,breast cancer,,A machine learning one-class logistic regression model to predict stemness for single cell transcriptomics and spatial omics,https://doi.org/10.1186/s12864-023-09722-6
no link of any kind recorded,he2021_cosmx,CosMx human liver dataset,CosMx,,liver,,"He et al., High-plex multiomic analysis in ffpe tissue at single-cellular and subcellular resolution by spatial molecular imaging, BioRxiv (2021)",
no link of any kind recorded,cosmx_melanoma_d_cosmx_2,CosMx melanoma dataset,CosMx,human,melanoma,,,
no link of any kind recorded,cosmx_vhsil_spat2025_cosmx,CosMx vHSIL Spatial Transcriptomics Dataset,CosMx Spatial Molecular Imager (NanoString),Human,Vulvar high-grade squamous intraepithelial lesions (vHSIL),,Single-cell spatial transcriptomics unravels cell states and ecosystems associated with clinical response to immunotherapy,https://doi.org/10.1136/jitc-2024-011308
no link of any kind recorded,coutant2023_unknown,Coutant,,,breast,,"Coutant et al., Spatial transcriptomics reveal pitfalls and opportunities for the detection of rare high-plasticity breast cancer subtypes, Lab. Investig. (2023)",https://doi.org/10.1016/j.labinv.2023.100258
no link of any kind recorded,bendall2011_cytof,CyTOF bone marrow mononuclear cell dataset,CyTOF,human,bone marrow,,"Bendall et al., Single-cell mass cytometry of differential immune and drug responses across a human hematopoietic continuum, Science (2011)",https://doi.org/10.3410/f.10641956.11536054
no link of any kind recorded,long2023_dartfish,DARTFISH occipital cortex dataset,DARTFISH,,occipital cortex,,"Long et al., SpaceTx: a roadmap for benchmarking spatial transcriptomics exploration of the brain (2023)",
no link of any kind recorded,wei2022_visium,DCIS scRNA-seq and ST datasets,10x Visium,human,breast (ductal carcinoma in situ),,"Wei et al., Spatial mapping and clonal derivation of architecture and immune landscapes in human breast tumors, Nat. Biotechnol. (2022)",
no link of any kind recorded,ddr364_base_edit2023_spinning_dis,DDR364 base-editing multi-omic screening dataset in MCF7 cells,Spinning disk confocal microscopy (CRISPRmap),Human,HT1080-Cas9 cell line,,CRISPRmap: Sequencing-free optical pooled screens mapping multi-omic phenotypes in cells and tissue,https://doi.org/10.1101/2023.12.26.572587
no link of any kind recorded,yeo2024_dlbcl_multiomics,"DLBCL multiplexed imaging cohorts (DLBCL-1 >361k, DLBCL-2 >1M annotated cells)",multiplexed imaging,human,lymph node,,"Yeo et al., bioRxiv (2024)",https://doi.org/10.1101/2024.12.20.629650
no link of any kind recorded,dld_1_colon_canc2023_xenium,DLD-1 colon cancer subcutaneous xenograft tissue PerturbView and spatial transcriptomics dataset,PerturbView / Xenium spatial transcriptomics,Human / Mouse (xenograft),Subcutaneous tumor / colon cancer xenograft,,"Highly multiplexed, image-based pooled screens in primary cells and tissues with PerturbView",https://doi.org/10.1101/2023.12.26.573143
no link of any kind recorded,huukimyers2024_singlecell_r,DLPFC single-cell dataset,single-cell RNA-seq,human,brain (prefrontal cortex),,"Huuki-Myers et al., A data-driven single-cell and spatial transcriptomic map of the human prefrontal cortex, Science (2024)",
no link of any kind recorded,dlpfc_snrna_seq__10x_genomics,DLPFC snRNA-seq dataset,10x Genomics Chromium Single Cell Gene Expression V3,human,dorsolateral prefrontal cortex,,,
no link of any kind recorded,castranio2023_visium,DSID000211 / DSID000213,10X Genomics Visium,mouse,brain,,"Castranio et al., Microglial INPP5D limits plaque formation and glial reactivity in the PSAPP mouse model of Alzheimer’s disease, Alzheimer’s Dement. (2023)",
no link of any kind recorded,dsp_wta_geomx,DSP-WTA,GeoMx DSP,Human,Ovarian cortex / ovarian endometriomas,,,
no link of any kind recorded,niec2022_visium,Dataset 2,Visium,Mouse,small and large intestines,,"Niec et al., Lymphatics act as a signaling hub to regulate intestinal stem cell activity, Cell Stem Cell (2022)",https://doi.org/10.3410/f.742199930.793593999
no link of any kind recorded,calvanese2022_visium,Dataset 3,Visium,Human,fetal hematopoietic tissues / embryo,,"Calvanese et al., Mapping human haematopoietic stem cells from haemogenic endothelium to birth, Nature (2022)",https://doi.org/10.3410/f.741973088.793595177
no link of any kind recorded,larouche2023_visium,Dataset 4,Visium,Mouse and Canine,skeletal muscle (tibialis anterior),,"Larouche et al., Spatiotemporal mapping of immune and stem cell dysregulation after volumetric muscle loss, JCI Insight (2023)",https://doi.org/10.1172/jci.insight.162835
no link of any kind recorded,rajachandran2023_slideseq,Dataset 5,Slide-seq,Mouse,testes,,"Rajachandran et al., Dissecting the spermatogonial stem cell niche using spatial transcriptomics, Cell Rep (2023)",https://doi.org/10.1016/j.celrep.2023.112737
no link of any kind recorded,chen2023_visium_2,Dataset 6,Visium,Mouse,brain,,"Chen et al., Human neural stem cells restore spatial memory in a transgenic Alzheimer's disease mouse model by an immunomodulating mechanism, Front Aging Neurosci (2023)",https://doi.org/10.3389/fnagi.2023.1306004
no link of any kind recorded,chaker2023_visium,Dataset 7,Visium,Mouse,olfactory bulb,,"Chaker et al., Pregnancy-responsive pools of adult neural stem cells for transient neurogenesis in mothers, Science (2023)",https://doi.org/10.1126/science.abo5199
no link of any kind recorded,cohen2024_visium,Dataset 8,Visium,Human,skin (scalp),,"Cohen et al., Regulatory T cells in skin mediate immune privilege of the hair follicle stem cell niche, Sci Immunol (2024)",https://doi.org/10.1126/sciimmunol.adh0152
no link of any kind recorded,hodge2019_iss,Dataset12,ISS,human,middle temporal gyrus,,"Hodge et al., Conserved cell types with divergent features in human versus mouse cortex, Nature (2019)",https://doi.org/10.3410/f.736463800.793571577
no link of any kind recorded,takei2021_seqfish,Dataset2,seqFISH,mouse,embryonic stem cell,,"Takei et al., Integrated spatial genomics reveals global architecture of single nuclei, Nature (2021)",https://doi.org/10.3410/f.739432523.793587803
no link of any kind recorded,xia2019_seqfish,Dataset5 / Dataset7,seqFISH+,human,osteosarcoma,,"Xia et al., Spatial transcriptome profiling by MERFISH reveals subcellular RNA compartmentalization and cell cycle-dependent gene expression, Proc Natl Acad Sci (2019)",https://doi.org/10.1073/pnas.1912459116
no link of any kind recorded,li2022_iss,Dataset8,ISS,mouse,VISP,,"Li et al., Benchmarking spatial and single-cell transcriptomics integration methods for transcript distribution prediction and cell type deconvolution, Nat Methods (2022)",https://doi.org/10.1038/s41592-022-01480-9
no link of any kind recorded,karaiskos2017_fish_2,Dataset8_FISH,FISH,drosophila,embryo,,"Karaiskos et al., The drosophila embryo at single-cell transcriptome resolution, Science (2017)",
no link of any kind recorded,simone2018_osmfish,Dataset9,osmFISH,mouse,somatosensory cortex,,"Simone et al., Spatial organization of the somatosensory cortex revealed by osmFISH, Nat Methods (2018)",https://doi.org/10.1038/s41592-018-0175-z
no link of any kind recorded,mantri2021_unknown,Day 14 Chicken Heart dataset,,chicken,heart,,"Mantri et al., Spatiotemporal single-cell RNA sequencing of developing chicken hearts identifies interplay between cellular differentiation and morphogenesis, Nat. Commun. (2021)",https://doi.org/10.1038/s41467-021-21892-z
no link of any kind recorded,deep_visual_prot_st,Deep Visual Proteomics (DVP) dataset,timsTOF SCP mass spectrometer,human,ovary,,,
no link of any kind recorded,deep_starmap_and_starmap,Deep-STARmap and Deep-RIBOmap mouse brain dataset,STARmap / RIBOmap,mouse,brain,,,
no link of any kind recorded,quach2024_visium,Developing Fetal Lung dataset,Visium and Xenium,Human,Lung,,"Quach et al., Early human fetal lung atlas reveals the temporal dynamics of epithelial cell plasticity, Nature Communications (2024)",https://doi.org/10.21203/rs.3.rs-3587319/v1
no link of any kind recorded,la2021_unknown,Developing Mouse Brain Atlas dataset,,mouse,brain,,"La Manno et al., Molecular architecture of the developing mouse brain, Nature (2021)",https://doi.org/10.1101/2020.07.02.184051
no link of any kind recorded,mantri2021_spatial_tran,Developing chicken heart dataset,Spatial Transcriptomics,Chicken,heart,,"Mantri et al., Spatiotemporal single-cell RNA sequencing of developing chicken hearts identifies interplay between cellular differentiation and morphogenesis, Nat Commun. (2021)",https://doi.org/10.1038/s41467-021-21892-z
no link of any kind recorded,xu2024_iss,Developing human heart (EGA),Spatial Transcriptomics / ISS,Human,Human embryonic heart,,"Xu et al., STOmicsDB: A comprehensive database for spatial transcriptomics data sharing, analysis and visualization, Nucleic Acids Res. (2024)",https://doi.org/10.1093/nar/gkad933
no link of any kind recorded,asp2019_10x_genomics,Developing human heart scRNA-seq reference,10x Genomics Chromium,human,developing heart,,"Asp et al., A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart, Cell (2019)",https://doi.org/10.3410/f.737069523.793570461
no link of any kind recorded,asp2019_iss,Developing human heart spatial transcriptomics,in situ sequencing (ISS),human,heart,,"Asp et al., A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart, Cell (2019)",https://doi.org/10.3410/f.737069523.793570461
no link of any kind recorded,suo2022_spatial_tran,Developing human immune system dataset,Spatial Transcriptomics,Human,lymphoid,,"Suo et al., Mapping the developing human immune system across organs, Science. (2022)",https://doi.org/10.3410/f.742140369.793593868
no link of any kind recorded,la2021_in_situ_mrna,Developing mouse brain architecture dataset,in situ mRNA sequencing,Mouse,brain,,"La Manno et al., Molecular architecture of the developing mouse brain, Nature. (2021)",https://doi.org/10.1101/2020.07.02.184051
no link of any kind recorded,theocharidis2022_unknown,Diabetic foot ulcers dataset,,,foot,,"Theocharidis et al., Single cell transcriptomic landscape of diabetic foot ulcers, Nature Communications (2022)",
no link of any kind recorded,diffuse_large_b_2023_cytof,Diffuse large B-cell lymphoma (DLBCL) CyTOF dataset,CyTOF,,diffuse large B-cell lymphoma (DLBCL),,SpatialSort: a Bayesian model for clustering and cell population annotation of spatial proteomics data,https://doi.org/10.1093/bioinformatics/btad242
no link of any kind recorded,diffuse_large_b_2023_mibi,Diffuse large B-cell lymphoma (DLBCL) MIBI dataset,MIBI,,diffuse large B-cell lymphoma (DLBCL),,SpatialSort: a Bayesian model for clustering and cell population annotation of spatial proteomics data,https://doi.org/10.1093/bioinformatics/btad242
no link of any kind recorded,drokhlyansky2020_scrnaseq,Drokhlyansky 2020 enteric nervous system single-cell data,scRNA-seq,human and mouse,entero-endocrine/enteric nervous system,,"Drokhlyansky et al., The Human and Mouse Enteric Nervous System at Single-Cell Resolution, Cell (2020)",
no link of any kind recorded,drokhlyansky2020_scrnaseq_2,Drokhlyansky 2020 scRNA-seq,scRNA-seq,Mouse and human,Enteric nervous system (colon),,"Drokhlyansky et al., The Human and Mouse Enteric Nervous System at Single-Cell Resolution, Cell (2020)",
no link of any kind recorded,tan2009_itraq_4plex,Drosophila dataset,iTRAQ 4-plex LOPIT,Drosophila melanogaster,,,"Tan et al., Mapping organelle proteins and protein complexes in drosophila melanogaster, Journal of proteome research (2009)",https://doi.org/10.1021/pr800866n
